model,sigma0,t,w,maxForce,meanForce,Damage,Plasticity
1.0,185.0,3.0,80.0,165.96778125,74.29315964205449,0.0300607760636,0.671528751753
2.0,195.0,3.0,80.0,170.79946875,77.02299118906917,0.0320710612436,0.679523141655
3.0,205.0,3.0,80.0,175.864765625,79.71122203314451,0.0344086021505,0.685133239832
4.0,215.0,3.0,80.0,180.85634375,81.84155772406056,0.0360448807854,0.67438055166
5.0,225.0,3.0,80.0,185.97921875,86.09910336381888,0.0386629266012,0.689761570827
6.0,185.0,1.0,80.0,42.9105585937,12.440593237534445,0.0070126227209,0.562926601216
7.0,185.0,2.0,80.0,95.3959140625,38.01014091537759,0.0178588125292,0.633520336606
8.0,185.0,2.5,80.0,129.875734375,56.04380565115215,0.0228611500701,0.671294997662
9.0,185.0,4.0,80.0,246.455203125,150.0590289944813,0.0599345488546,0.649275362319
10.0,185.0,5.0,80.0,340.360625,217.33807174394107,0.0700794763908,0.98667601683
11.0,185.0,3.0,60.0,136.2175625,80.57048368606777,0.0457466918715,0.722054190296
12.0,185.0,3.0,70.0,152.806390625,73.2188581258856,0.0341921631777,0.722168545357
13.0,185.0,3.0,75.0,160.94271875,73.8225411711524,0.0314182194617,0.688095238095
14.0,185.0,3.0,90.0,181.643953125,78.03409695007416,0.0232712215321,0.742939958592
15.0,185.0,3.0,100.0,190.145671875,77.00363445226124,0.0240059457451,0.652025269417
